id;default;idade;sexo;dependentes;escolaridade;estado_civil;salario_anual;cant_bienes
720096558;0;55;F;2;mestrado;casado;40.000;5
719580033;0;54;M;1;mestrado;na;60.000;4
820582308;0;42;M;5;sem educacao formal;casado;70.000;6
789973308;0;44;M;1;graduacao;solteiro;60.000;3
712876233;0;53;M;2;mestrado;solteiro;70.000;5
804595158;0;44;F;4;mestrado;solteiro;40.000;6
714826758;0;37;F;3;sem educacao formal;solteiro;40.000;4
779058108;0;49;M;3;mestrado;divorciado;60.000;6
710790258;0;47;M;2;mestrado;casado;70.000;6
715623483;0;47;M;3;mestrado;casado;60.000;4
715156383;0;44;M;1;na;na;120.000;6
711013983;1;55;F;4;na;casado;50.000;2
755420433;0;59;F;1;mestrado;casado;50.000;2
794543958;0;53;M;1;mestrado;divorciado;70.000;5
716396358;0;52;M;2;mestrado;casado;60.000;5
715398033;0;53;M;2;ensino medio;solteiro;120.000;4
711743883;0;43;F;3;sem educacao formal;solteiro;40.000;5
719720058;0;44;M;3;ensino medio;solteiro;60.000;4
778992108;0;57;M;2;na;casado;120.000;5
717539808;0;51;F;2;ensino medio;solteiro;40.000;3
714070758;0;49;M;4;ensino medio;solteiro;70.000;4
714107958;0;45;M;1;mestrado;solteiro;50.000;4
789140283;0;53;M;0;mestrado;solteiro;70.000;5
715550508;0;45;F;3;na;casado;50.000;5
719712633;0;64;M;1;mestrado;casado;40.000;6
772629333;0;45;M;3;mestrado;casado;50.000;5
720336708;0;53;M;3;doutorado;casado;50.000;5
802013583;0;56;M;3;graduacao;casado;120.000;3
711887583;1;47;M;2;na;casado;70.000;2
714778833;0;49;F;3;graduacao;solteiro;50.000;4
713843283;0;41;F;3;na;casado;50.000;5
779155158;0;53;M;3;mestrado;casado;120.000;6
721091583;0;44;F;2;mestrado;solteiro;40.000;3
713572683;0;44;M;3;ensino medio;na;60.000;3
716657058;0;43;F;4;doutorado;casado;40.000;2
779509983;0;53;M;2;doutorado;solteiro;120.000;6
717929133;0;44;M;1;sem educacao formal;casado;60.000;5
808284783;0;62;F;1;na;casado;40.000;6
708476808;0;54;M;4;na;divorciado;120.000;6
710916408;0;57;M;4;mestrado;casado;60.000;4
708492558;0;42;M;3;na;casado;60.000;5
799825758;0;42;M;4;ensino medio;divorciado;60.000;5
718619883;0;54;F;0;sem educacao formal;casado;40.000;2
711844758;0;48;M;3;mestrado;solteiro;70.000;6
714798783;0;49;M;1;mestrado;solteiro;70.000;6
826762908;0;52;M;3;ensino medio;na;70.000;3
771894558;0;50;M;3;ensino medio;solteiro;70.000;4
721074183;0;49;M;1;doutorado;casado;60.000;4
715259583;0;53;F;2;ensino medio;casado;40.000;3
718414008;0;50;M;2;mestrado;solteiro;120.000;3
719666283;0;55;F;1;doutorado;casado;40.000;4
714877233;0;53;M;1;ensino medio;casado;70.000;3
785387883;0;47;F;3;ensino medio;solteiro;50.000;4
771075258;0;55;M;2;graduacao;solteiro;120.000;2
711318033;0;47;M;3;mestrado;solteiro;60.000;4
783554958;0;58;M;4;mestrado;solteiro;120.000;6
720201033;1;53;M;2;mestrado;casado;70.000;3
718039683;0;52;M;2;ensino medio;solteiro;50.000;3
710806083;0;50;F;1;sem educacao formal;na;40.000;4
714752208;0;42;F;1;mestrado;casado;40.000;5
822063408;0;43;M;4;na;casado;50.000;5
714490308;0;57;M;4;mestrado;casado;70.000;3
713356833;0;52;M;1;mestrado;casado;70.000;3
711402333;0;47;M;2;doutorado;solteiro;40.000;2
708296883;0;44;F;3;mestrado;solteiro;50.000;3
719154483;0;53;M;2;ensino medio;divorciado;60.000;5
717721458;0;45;M;4;graduacao;divorciado;60.000;5
711112683;0;63;F;1;graduacao;casado;50.000;6
715674483;0;39;F;2;doutorado;solteiro;40.000;4
789322833;1;48;F;5;ensino medio;casado;40.000;1
789968058;0;51;M;1;na;solteiro;120.000;6
709919283;0;54;M;4;mestrado;casado;70.000;2
718744008;0;59;F;1;mestrado;solteiro;40.000;3
767712558;1;59;M;1;graduacao;solteiro;60.000;2
712950783;1;48;F;4;sem educacao formal;casado;40.000;3
716104983;0;41;F;2;mestrado;solteiro;40.000;6
818839983;0;55;M;2;mestrado;casado;120.000;3
772288758;0;47;F;4;mestrado;casado;50.000;4
712350858;0;41;M;2;ensino medio;casado;70.000;4
711009708;0;40;M;3;ensino medio;solteiro;70.000;5
712720158;0;68;M;1;mestrado;casado;50.000;5
712215258;0;50;F;1;mestrado;solteiro;50.000;2
773827008;0;47;M;4;sem educacao formal;solteiro;60.000;6
795232683;0;53;F;1;graduacao;casado;40.000;4
713786508;0;42;F;5;na;casado;50.000;3
713539833;0;48;F;4;ensino medio;solteiro;50.000;6
712454058;0;49;M;1;doutorado;casado;120.000;6
718759833;0;44;F;2;sem educacao formal;casado;50.000;4
718803333;0;43;F;4;mestrado;divorciado;40.000;2
720253908;0;56;M;0;ensino medio;casado;70.000;5
714133158;0;59;F;1;graduacao;solteiro;50.000;2
713187033;0;46;M;1;sem educacao formal;casado;60.000;3
714791208;0;47;F;4;na;divorciado;40.000;6
772426383;0;50;F;4;sem educacao formal;casado;50.000;5
710975883;0;51;F;3;sem educacao formal;casado;40.000;3
714264408;0;47;F;3;sem educacao formal;casado;40.000;4
715827858;0;58;F;4;sem educacao formal;casado;40.000;3
713741358;1;46;M;5;mestrado;solteiro;70.000;6
709531908;0;53;M;3;ensino medio;casado;60.000;5
716493408;0;45;F;4;sem educacao formal;divorciado;50.000;4
714141108;0;52;F;1;ensino medio;casado;40.000;6
708953883;1;53;M;2;na;casado;70.000;2
712608783;0;50;M;2;ensino medio;casado;70.000;3
820353558;0;41;F;3;ensino medio;casado;50.000;4
714964758;0;45;F;5;mestrado;divorciado;50.000;5
716264358;0;53;M;3;sem educacao formal;casado;70.000;2
717296808;0;67;F;1;mestrado;casado;40.000;4
712977183;0;57;F;2;sem educacao formal;solteiro;50.000;6
710829108;0;59;F;1;sem educacao formal;casado;50.000;4
779562633;0;45;M;2;sem educacao formal;casado;50.000;3
715315833;0;51;M;3;mestrado;casado;70.000;6
815500983;0;59;F;1;sem educacao formal;casado;40.000;5
719360583;0;53;M;1;mestrado;casado;60.000;6
709701558;0;47;M;3;mestrado;casado;60.000;2
721148358;0;49;F;3;sem educacao formal;solteiro;50.000;6
779862408;0;49;M;3;doutorado;solteiro;70.000;3
812627208;0;60;F;0;graduacao;solteiro;40.000;5
711033408;0;50;F;2;ensino medio;casado;40.000;5
779956608;0;41;F;2;doutorado;casado;50.000;6
780376683;0;57;M;1;mestrado;casado;70.000;5
717912483;0;43;M;4;mestrado;na;70.000;5
714454758;0;57;F;3;mestrado;casado;40.000;4
780466533;0;54;M;3;doutorado;casado;120.000;3
715735233;0;51;F;5;doutorado;casado;40.000;5
720476733;0;47;F;3;ensino medio;casado;40.000;2
715872333;0;41;M;0;ensino medio;na;120.000;3
712375758;0;53;M;3;sem educacao formal;casado;70.000;3
708868233;1;68;M;0;ensino medio;casado;40.000;1
718030083;0;59;M;1;graduacao;casado;60.000;4
720707283;0;48;M;4;na;casado;70.000;5
771698658;0;44;M;5;mestrado;casado;60.000;4
748326258;0;48;M;3;graduacao;casado;70.000;4
770817783;0;47;M;4;mestrado;casado;60.000;3
779353083;0;47;M;2;mestrado;casado;60.000;4
711441333;0;43;F;1;ensino medio;divorciado;40.000;3
719808558;1;55;F;2;mestrado;casado;40.000;2
711551958;1;59;M;2;doutorado;casado;60.000;3
809164083;0;63;M;1;mestrado;casado;50.000;2
820596183;0;58;M;2;graduacao;casado;120.000;2
715999608;0;53;F;2;ensino medio;casado;40.000;4
710565408;0;59;M;0;na;na;70.000;3
805543158;0;52;M;3;mestrado;casado;120.000;5
709752183;0;48;M;3;ensino medio;solteiro;60.000;4
716479233;0;43;M;4;ensino medio;casado;50.000;5
713837058;0;48;M;2;graduacao;solteiro;40.000;3
718876683;0;43;F;4;mestrado;solteiro;40.000;5
770746908;0;44;M;4;na;casado;60.000;5
794843883;0;41;M;3;ensino medio;casado;70.000;6
803043933;0;44;F;3;sem educacao formal;divorciado;40.000;4
758076408;0;50;M;2;na;solteiro;50.000;2
714606558;0;60;F;1;sem educacao formal;casado;40.000;5
778425408;0;44;M;4;mestrado;solteiro;70.000;5
714171108;0;48;F;3;mestrado;divorciado;50.000;6
719662458;0;44;F;2;mestrado;divorciado;40.000;5
713137233;0;41;M;2;ensino medio;solteiro;70.000;4
769425858;0;45;M;3;graduacao;solteiro;60.000;4
711297483;0;47;F;2;sem educacao formal;divorciado;40.000;6
788900883;0;51;F;2;mestrado;casado;40.000;3
758348808;0;51;M;2;mestrado;casado;120.000;4
772336458;1;60;F;1;sem educacao formal;casado;50.000;4
708711483;0;57;M;2;na;casado;70.000;2
717906783;0;41;M;5;mestrado;solteiro;120.000;5
719437908;0;44;M;3;doutorado;divorciado;70.000;6
769433508;0;43;M;1;graduacao;solteiro;60.000;6
790096533;0;55;M;2;graduacao;casado;60.000;4
720997383;1;52;M;1;sem educacao formal;casado;70.000;2
787541883;0;44;M;3;mestrado;na;70.000;3
709930758;0;41;M;2;sem educacao formal;casado;50.000;5
789830058;0;44;M;4;na;solteiro;70.000;4
710299608;1;53;F;2;na;casado;40.000;2
710741208;0;39;M;2;ensino medio;solteiro;70.000;4
821797008;1;49;M;5;graduacao;casado;50.000;2
708874533;1;45;F;2;graduacao;casado;40.000;1
715341858;0;54;M;2;mestrado;casado;70.000;6
793636308;0;49;M;3;sem educacao formal;solteiro;70.000;2
713779908;0;46;F;3;doutorado;solteiro;50.000;6
712125258;1;46;M;4;ensino medio;casado;120.000;3
709703433;0;47;M;3;mestrado;casado;60.000;4
721022433;0;44;M;2;doutorado;solteiro;60.000;5
710103558;0;50;M;3;doutorado;solteiro;120.000;4
715952883;0;73;M;0;ensino medio;casado;50.000;5
719731458;0;56;M;3;na;na;50.000;6
772390908;1;59;M;0;ensino medio;solteiro;50.000;2
787348608;0;70;M;0;ensino medio;casado;40.000;3
709485033;0;55;F;2;ensino medio;casado;40.000;4
715432608;0;43;M;4;na;solteiro;60.000;4
799471833;0;45;M;1;sem educacao formal;solteiro;120.000;4
714187533;0;45;F;2;sem educacao formal;solteiro;50.000;2
779656908;0;40;M;1;mestrado;casado;50.000;6
788950158;0;36;M;2;graduacao;na;70.000;2
778867533;1;59;F;0;doutorado;casado;50.000;1
710620383;0;43;M;4;na;casado;60.000;6
778661358;0;46;F;1;na;casado;40.000;2
789483333;0;41;M;2;sem educacao formal;casado;50.000;5
809855808;0;51;F;2;mestrado;casado;40.000;5
718464258;0;51;F;3;na;na;40.000;2
708528483;0;43;F;4;mestrado;divorciado;50.000;6
771809733;1;64;F;0;ensino medio;casado;50.000;1
719942883;0;54;M;5;mestrado;casado;60.000;3
807226683;0;48;M;3;na;solteiro;50.000;6
717806133;0;40;M;2;sem educacao formal;divorciado;60.000;5
720615708;0;57;M;0;sem educacao formal;casado;50.000;6
714511758;0;45;M;4;mestrado;solteiro;70.000;4
715050408;0;41;M;3;ensino medio;solteiro;70.000;4
721132233;0;42;F;4;sem educacao formal;casado;40.000;2
719211558;1;45;M;2;mestrado;solteiro;60.000;1
712069008;0;42;F;4;sem educacao formal;casado;40.000;4
715996983;0;47;M;4;sem educacao formal;divorciado;70.000;5
773466258;0;48;F;4;ensino medio;casado;50.000;3
798983508;0;43;M;1;mestrado;solteiro;70.000;4
719117433;0;41;M;4;ensino medio;na;70.000;4
716451183;0;54;F;1;sem educacao formal;casado;50.000;5
718621608;1;54;F;2;ensino medio;casado;50.000;3
715085733;0;61;M;0;mestrado;casado;50.000;3
788977833;0;61;M;0;sem educacao formal;casado;70.000;2
720272958;1;48;M;2;ensino medio;casado;120.000;3
708421833;0;45;F;4;mestrado;solteiro;40.000;6
709173108;1;54;F;4;mestrado;casado;50.000;6
709879458;0;54;F;3;doutorado;casado;50.000;2
715120608;0;44;M;3;mestrado;solteiro;60.000;2
770632758;0;50;F;4;doutorado;solteiro;50.000;2
779078733;0;55;M;2;doutorado;casado;60.000;3
771742533;0;48;M;2;mestrado;na;50.000;5
720250158;0;45;M;2;graduacao;solteiro;60.000;6
716458983;0;60;M;0;ensino medio;casado;50.000;5
713747733;0;55;M;2;ensino medio;casado;50.000;5
712270158;0;62;F;0;ensino medio;casado;50.000;5
789562383;0;38;F;1;ensino medio;na;40.000;2
754897008;0;46;M;3;ensino medio;solteiro;50.000;2
819700533;0;50;M;0;ensino medio;solteiro;120.000;5
712890408;0;45;M;2;sem educacao formal;casado;60.000;5
720248208;0;47;M;3;doutorado;divorciado;60.000;6
779749908;0;48;M;4;graduacao;casado;60.000;2
717401883;0;35;M;3;sem educacao formal;casado;60.000;5
721509558;0;51;M;2;mestrado;casado;120.000;3
710572458;0;36;F;3;ensino medio;casado;50.000;4
714576183;0;47;M;4;mestrado;solteiro;70.000;6
721425558;0;52;M;2;mestrado;solteiro;120.000;2
711109908;0;43;F;4;sem educacao formal;casado;40.000;2
715203108;0;63;M;2;ensino medio;casado;50.000;2
710027508;0;61;M;0;mestrado;casado;60.000;3
787464408;0;53;M;2;sem educacao formal;solteiro;60.000;5
783542133;0;53;F;3;mestrado;casado;40.000;5
708330858;1;57;M;3;mestrado;casado;120.000;2
714426783;0;38;F;2;mestrado;solteiro;50.000;2
712701333;0;53;M;3;ensino medio;casado;60.000;5
709494483;0;63;F;0;na;casado;40.000;4
773373108;0;49;F;4;ensino medio;casado;40.000;4
715812258;0;45;M;2;ensino medio;casado;70.000;5
778286433;0;67;M;0;mestrado;casado;50.000;4
789270033;0;48;M;3;mestrado;solteiro;70.000;3
711569433;0;51;F;2;sem educacao formal;divorciado;40.000;4
720214833;0;52;M;2;ensino medio;solteiro;70.000;3
709346133;0;55;F;2;sem educacao formal;casado;50.000;3
788194458;0;34;M;3;ensino medio;casado;60.000;4
720779733;0;56;M;1;sem educacao formal;casado;120.000;3
717424458;0;44;F;2;doutorado;casado;40.000;3
708820308;0;47;M;3;doutorado;na;70.000;6
710558058;0;46;F;3;na;casado;40.000;4
770590758;0;43;F;3;mestrado;solteiro;50.000;5
718490658;0;50;F;1;mestrado;solteiro;40.000;4
711985833;0;38;F;4;sem educacao formal;solteiro;40.000;4
708967608;0;53;F;1;mestrado;solteiro;40.000;3
718505958;0;43;M;5;mestrado;divorciado;120.000;5
715024233;0;53;M;1;ensino medio;casado;120.000;6
779249583;0;56;F;1;mestrado;casado;40.000;4
709278258;1;54;M;2;na;casado;50.000;4
778928283;0;57;F;3;ensino medio;casado;40.000;3
712299858;0;62;M;1;ensino medio;casado;40.000;5
799224108;0;46;F;4;mestrado;solteiro;40.000;5
809976033;0;49;M;2;sem educacao formal;casado;60.000;6
716203308;0;52;M;3;mestrado;solteiro;70.000;6
714871683;1;58;M;1;sem educacao formal;casado;50.000;2
716139933;0;54;M;0;ensino medio;casado;70.000;3
716984658;0;49;M;1;mestrado;casado;120.000;3
713086008;0;58;F;3;ensino medio;casado;40.000;6
713773458;0;52;M;2;ensino medio;solteiro;60.000;5
719242533;0;41;M;5;ensino medio;casado;60.000;5
772712658;0;62;F;0;sem educacao formal;casado;40.000;5
788868858;0;54;M;2;mestrado;casado;40.000;4
811898133;0;40;F;3;ensino medio;divorciado;40.000;3
788808633;0;43;M;3;mestrado;casado;70.000;5
779804208;0;53;F;2;mestrado;solteiro;50.000;6
781391058;0;55;M;1;sem educacao formal;solteiro;50.000;6
790134408;0;46;M;4;mestrado;solteiro;60.000;6
788853258;0;41;M;1;sem educacao formal;casado;60.000;3
711857733;0;49;M;3;sem educacao formal;solteiro;60.000;3
822969858;0;61;F;0;mestrado;casado;50.000;4
719554758;0;46;M;2;sem educacao formal;casado;70.000;6
711643458;0;50;F;1;sem educacao formal;casado;40.000;6
788830683;0;40;M;2;mestrado;solteiro;70.000;5
807030858;0;51;M;4;ensino medio;solteiro;120.000;6
793059108;0;50;F;2;mestrado;casado;50.000;6
716568708;0;47;F;2;mestrado;casado;40.000;6
828281733;0;43;M;4;na;casado;120.000;3
717229158;0;36;F;4;mestrado;casado;50.000;6
715915458;0;47;F;2;mestrado;casado;40.000;5
819129858;0;46;F;2;mestrado;solteiro;40.000;5
713441958;0;46;M;2;ensino medio;casado;120.000;5
719091333;0;52;M;0;sem educacao formal;casado;60.000;3
708666258;0;43;M;4;na;casado;50.000;5
714914583;0;40;F;4;mestrado;solteiro;40.000;6
714363858;0;54;F;4;ensino medio;casado;40.000;3
721347408;0;55;F;1;ensino medio;solteiro;40.000;4
809608533;0;49;F;4;doutorado;solteiro;50.000;6
772047183;0;45;M;4;ensino medio;casado;50.000;6
714217908;0;49;M;3;mestrado;casado;50.000;5
714819183;0;63;M;1;sem educacao formal;casado;70.000;5
716455683;0;40;F;3;ensino medio;solteiro;40.000;3
710865633;0;41;F;2;mestrado;casado;40.000;4
752952108;0;37;M;4;mestrado;casado;70.000;6
712595433;0;58;M;2;sem educacao formal;na;120.000;6
714982383;0;55;M;2;ensino medio;casado;60.000;4
813814008;0;53;F;1;ensino medio;casado;40.000;6
794545983;0;57;M;2;mestrado;casado;70.000;3
708288108;1;43;M;4;doutorado;na;70.000;2
715585158;0;58;M;1;mestrado;casado;60.000;3
810449883;0;64;M;0;na;casado;40.000;6
789863208;0;54;F;2;mestrado;casado;40.000;3
715022133;0;53;M;2;mestrado;casado;60.000;6
712506708;0;39;F;3;graduacao;solteiro;40.000;6
715699983;0;56;M;3;ensino medio;casado;60.000;5
818942433;0;54;F;4;na;divorciado;40.000;6
712459233;0;59;F;1;doutorado;casado;50.000;5
716545383;0;42;M;3;sem educacao formal;solteiro;50.000;3
721144383;0;42;M;4;mestrado;casado;60.000;5
821837958;0;43;M;3;graduacao;na;70.000;3
804359133;0;55;M;0;ensino medio;casado;120.000;5
713308683;0;52;M;1;sem educacao formal;solteiro;70.000;5
788780958;0;46;M;1;sem educacao formal;na;50.000;6
717354558;1;57;M;2;sem educacao formal;casado;120.000;3
798473808;0;48;M;3;graduacao;casado;70.000;3
712372158;0;45;M;4;na;casado;120.000;6
715192308;0;48;M;2;ensino medio;casado;120.000;6
708813033;0;47;M;1;mestrado;solteiro;50.000;5
714639783;1;42;M;3;graduacao;casado;60.000;3
709311633;0;41;M;2;mestrado;na;60.000;6
709470858;0;51;M;4;graduacao;casado;120.000;5
717292758;0;55;F;2;mestrado;solteiro;40.000;5
779241783;0;67;M;1;sem educacao formal;casado;50.000;4
715205358;0;39;M;1;mestrado;casado;60.000;4
778871508;0;54;M;3;doutorado;solteiro;60.000;6
779462433;0;55;F;2;na;casado;40.000;3
710147958;0;47;M;3;ensino medio;casado;50.000;3
709864833;0;49;M;2;doutorado;casado;60.000;3
778868958;1;42;F;2;mestrado;casado;40.000;3
717276708;0;57;M;2;na;solteiro;70.000;3
710004933;0;44;M;5;sem educacao formal;casado;60.000;3
753606108;0;56;M;3;na;solteiro;60.000;3
710940183;1;49;F;3;mestrado;casado;40.000;6
718927533;0;45;M;3;mestrado;solteiro;70.000;5
719337408;0;63;M;0;ensino medio;casado;60.000;6
772308408;0;44;M;3;mestrado;solteiro;70.000;6
712981383;0;44;F;4;graduacao;casado;40.000;3
790099758;0;40;M;3;ensino medio;casado;50.000;4
709547658;1;39;M;2;sem educacao formal;solteiro;60.000;5
778770783;0;42;M;4;ensino medio;casado;70.000;6
713134458;0;54;M;3;ensino medio;casado;120.000;4
712159083;1;58;F;4;na;casado;40.000;2
713639958;0;46;F;4;mestrado;divorciado;40.000;5
771180033;0;47;F;4;na;divorciado;50.000;6
717916758;0;67;F;0;na;casado;50.000;4
711089733;0;50;F;2;graduacao;divorciado;40.000;3
716988633;0;55;M;0;ensino medio;divorciado;60.000;6
779031033;0;46;F;2;mestrado;casado;50.000;6
716302383;0;47;F;4;sem educacao formal;casado;50.000;3
718281408;0;36;F;2;na;casado;50.000;3
721333233;0;40;M;4;doutorado;divorciado;60.000;4
794496033;0;57;M;2;na;solteiro;70.000;6
710519433;0;48;M;1;na;divorciado;70.000;3
814995933;0;58;F;3;mestrado;casado;40.000;5
721469433;0;48;M;3;mestrado;solteiro;50.000;5
788386908;0;48;M;3;mestrado;na;70.000;3
717198633;0;53;F;2;graduacao;casado;50.000;6
767695083;0;50;M;2;mestrado;casado;70.000;3
711791583;1;52;F;1;mestrado;solteiro;40.000;1
712315683;1;53;F;2;sem educacao formal;solteiro;40.000;1
710038008;0;56;F;1;mestrado;solteiro;50.000;3
789129033;0;44;M;5;na;solteiro;70.000;5
718349058;0;49;M;3;ensino medio;casado;70.000;3
789842283;1;54;M;2;mestrado;casado;60.000;3
714513033;0;39;F;1;na;solteiro;50.000;6
714717483;0;39;F;3;sem educacao formal;divorciado;50.000;5
714900408;0;41;F;4;ensino medio;solteiro;40.000;3
719418933;1;53;M;2;sem educacao formal;casado;70.000;1
720115683;0;47;M;3;sem educacao formal;casado;70.000;6
779504058;0;46;F;2;doutorado;casado;40.000;5
795979833;0;53;F;1;ensino medio;casado;40.000;6
717392358;0;60;M;1;mestrado;casado;70.000;6
718640508;0;59;F;0;mestrado;solteiro;40.000;4
803366358;0;38;M;1;na;solteiro;60.000;5
709230708;0;56;M;4;sem educacao formal;solteiro;40.000;3
781794708;1;35;M;3;doutorado;na;70.000;2
801383808;0;50;M;3;mestrado;solteiro;60.000;4
710677608;0;53;M;2;doutorado;na;70.000;4
708217758;0;63;M;2;mestrado;casado;60.000;5
714272658;1;43;F;2;sem educacao formal;solteiro;40.000;2
717469158;0;46;M;2;na;casado;70.000;6
711864783;0;61;M;1;sem educacao formal;solteiro;60.000;5
719407983;0;37;F;0;doutorado;casado;40.000;4
710665533;0;42;F;5;doutorado;casado;50.000;4
716804283;0;41;M;2;sem educacao formal;divorciado;120.000;3
767294658;1;56;M;2;graduacao;solteiro;120.000;2
709122483;0;56;M;3;mestrado;casado;60.000;3
708241233;1;52;F;3;doutorado;solteiro;40.000;3
717860358;0;40;F;3;ensino medio;solteiro;50.000;5
789337233;0;63;M;1;mestrado;casado;50.000;6
720902133;0;58;M;1;ensino medio;solteiro;50.000;4
721043058;0;58;M;4;na;casado;60.000;5
711870333;0;46;M;2;sem educacao formal;divorciado;70.000;6
708398283;0;37;F;1;mestrado;casado;50.000;5
715878183;0;46;M;4;mestrado;solteiro;70.000;4
719451483;0;46;F;4;doutorado;casado;40.000;5
709110633;0;41;M;1;mestrado;solteiro;70.000;5
721059033;0;48;F;3;ensino medio;divorciado;50.000;4
779912283;0;49;F;3;mestrado;solteiro;50.000;5
717701733;0;44;M;2;mestrado;casado;70.000;3
709913733;0;39;F;3;graduacao;casado;40.000;4
718768158;0;57;M;1;graduacao;solteiro;50.000;3
721375308;0;48;M;3;ensino medio;casado;70.000;5
711374283;0;47;M;3;ensino medio;solteiro;70.000;4
822893133;0;56;F;1;sem educacao formal;divorciado;50.000;6
778465533;0;54;F;0;graduacao;casado;40.000;3
712138983;0;54;M;1;mestrado;casado;60.000;3
716920908;0;52;M;4;ensino medio;casado;70.000;6
708095133;0;43;M;4;na;na;120.000;5
711195558;0;59;M;1;graduacao;solteiro;50.000;6
772735758;0;44;M;1;na;casado;50.000;6
712024908;0;56;F;1;graduacao;casado;40.000;6
778239933;0;45;F;4;mestrado;casado;50.000;6
714893733;0;55;M;1;ensino medio;casado;70.000;3
754886958;0;48;F;3;graduacao;divorciado;50.000;4
710104908;0;56;F;5;graduacao;solteiro;40.000;4
710558883;0;41;M;3;sem educacao formal;casado;60.000;5
713827383;0;65;F;1;ensino medio;casado;40.000;3
720267033;0;34;M;4;doutorado;solteiro;70.000;3
712049208;0;56;M;3;doutorado;casado;60.000;3
708688608;0;62;F;1;ensino medio;casado;40.000;5
716223708;1;45;F;3;sem educacao formal;solteiro;50.000;3
713217858;0;38;F;2;sem educacao formal;solteiro;40.000;5
819352983;0;49;M;3;na;na;120.000;5
711019308;0;58;M;2;ensino medio;solteiro;60.000;3
768600558;0;41;F;4;mestrado;solteiro;50.000;4
